tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
348,12/1/19 11:56 AM,12/1/19 12:02 PM,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,29656,Subscriber,1984,1
405,12/1/19 11:58 AM,12/1/19 12:04 PM,3199,Newport Pkwy,40.7287448,-74.0321082,3275,Columbus Drive,40.7183552,-74.03891444,26235,Subscriber,1990,1
231,12/1/19 12:05 PM,12/1/19 12:09 PM,3681,Grand St,40.71517768,-74.03768331,3187,Warren St,40.7211236,-74.03805095,26170,Subscriber,1985,2
283,12/1/19 12:06 PM,12/1/19 12:11 PM,3638,Washington St,40.7242941,-74.0354826,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,26296,Subscriber,1994,1
307,12/1/19 12:07 PM,12/1/19 12:12 PM,3267,Morris Canal,40.71241882,-74.03852552,3275,Columbus Drive,40.7183552,-74.03891444,26163,Subscriber,1992,2
368,12/1/19 12:09 PM,12/1/19 12:15 PM,3267,Morris Canal,40.71241882,-74.03852552,3639,Harborside,40.7192517,-74.034234,26184,Subscriber,1977,1
301,12/1/19 12:13 PM,12/1/19 12:18 PM,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,29534,Subscriber,1989,2
271,12/1/19 12:19 PM,12/1/19 12:23 PM,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,26289,Subscriber,1983,1
272,12/1/19 12:19 PM,12/1/19 12:24 PM,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,29676,Subscriber,1986,2
450,12/1/19 12:23 PM,12/1/19 12:30 PM,3270,Jersey & 6th St,40.72528911,-74.04557168,3270,Jersey & 6th St,40.72528911,-74.04557168,29549,Subscriber,1987,2
